SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1045 Utah St Unit 2-111,Arlington,VA,22201,329900,1,1.0,Windsor Plaza,502,,1994,2,657,370,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Arlington/1045-N-Utah-St-22201/unit-2-111/home/11244536,MRIS,AR10215237,N,Y,38.8832871,-77.1135655
MLS Listing,,Condo/Co-op,1115 12th St NW #405,Washington,DC,20005,399000,1,1.0,Old City #2,740,,1937,4,539,305,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/DC/Washington/1115-12th-St-NW-20005/unit-405/home/9875952,MRIS,DC10212424,N,Y,38.90457,-77.027944
MLS Listing,,Condo/Co-op,1001 N Vermont St #811,Arlington,VA,22201,364900,1,1.0,Westview At Ballston,538,,2005,4,678,394,Active,,,http://www.redfin.com/VA/Arlington/1001-N-Vermont-St-22201/unit-811/home/11280216,MRIS,AR10211838,N,Y,38.8828742,-77.1143324
MLS Listing,,Townhouse,2812 16th Rd S Unit A,Arlington,VA,22204,329000,3,1.5,Arlington Court,962,,1947,5,342,626,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Arlington/2812-16th-Rd-S-22204/unit-A/home/145239993,MRIS,AR10211922,N,Y,38.8563448,-77.0852452
MLS Listing,,Condo/Co-op,1711 Massachusetts Ave NW #714,Washington,DC,20036,399900,1,1.0,Old City #2,650,,1950,10,615,544,Active,,,http://www.redfin.com/DC/Washington/1711-Massachusetts-Ave-NW-20036/unit-714/home/9863991,MRIS,DC10206065,N,Y,38.9088143,-77.0389505
MLS Listing,,Townhouse,4161 Four Mile Run Dr #403,Arlington,VA,22204,399500,2,2.0,West Vge At Shir,1135,,1966,16,352,425,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Arlington/4161-S-Four-Mile-Run-Dr-22204/unit-403/home/16897064,MRIS,AR10200665,N,Y,38.8489274,-77.0976017
MLS Listing,,Condo/Co-op,2712 Ordway St NW #5,Washington,DC,20008,365000,1,1.0,Forest Hills,763,,1944,17,478,283,Active,,,http://www.redfin.com/DC/Washington/2712-Ordway-St-NW-20008/unit-5/home/9989996,MRIS,DC10199677,N,Y,38.9341356,-77.0556259
MLS Listing,,Condo/Co-op,5700 Chapman Mill Dr #160,North Bethesda,MD,20852,380000,3,2.0,Gables Of Tuckerman Codm,996,,1987,17,382,400,Active,,,http://www.redfin.com/MD/North-Bethesda/5700-Chapman-Mill-Dr-20852/unit-160/home/10545580,MRIS,MC10198689,N,Y,39.0353575,-77.1150688
MLS Listing,,Condo/Co-op,5101 River Rd #1111,Bethesda,MD,20816,236000,1,1.0,The Kenwood,1017,,1969,23,232,700,Active,,,http://www.redfin.com/MD/Bethesda/5101-River-Rd-20816/unit-1111/home/10689485,MRIS,MC10194193,N,Y,38.9640697,-77.1013213
MLS Listing,,Condo/Co-op,1311 Delaware Ave SW Unit S432,Washington,DC,20024,299000,2,1.0,Rla (sw),775,,1962,24,386,1136,Active,,,http://www.redfin.com/DC/Washington/1311-Delaware-Ave-SW-20024/unit-S432/home/12058542,MRIS,DC10192759,N,Y,38.8739553,-77.0155098
